,Date,State,Confirmed
713,2020-04-07,Chandigarh,18
714,2020-04-07,Chhattisgarh,10
715,2020-04-07,Delhi,576
716,2020-04-07,Goa,7
717,2020-04-07,Gujarat,165
718,2020-04-07,Haryana,90
719,2020-04-07,Himachal Pradesh,13
720,2020-04-07,Jammu and Kashmir,116
721,2020-04-07,Jharkhand,4
722,2020-04-07,Karnataka,175
723,2020-04-07,Kerala,327
724,2020-04-07,Ladakh,14
725,2020-04-07,Madhya Pradesh,229
726,2020-04-07,Maharashtra,868
727,2020-04-07,Manipur,2
728,2020-04-07,Mizoram,1
729,2020-04-07,Odisha,42
730,2020-04-07,Puducherry,5
731,2020-04-07,Punjab,91
732,2020-04-07,Rajasthan,288
733,2020-04-07,Tamil Nadu,621
734,2020-04-07,Telangana,364
735,2020-04-07,Tripura,1
736,2020-04-07,Uttarakhand,31
737,2020-04-07,Uttar Pradesh,305
738,2020-04-07,West Bengal,91
739,2020-04-08,Andhra Pradesh,305
740,2020-04-08,Andaman and Nicobar Islands,10
741,2020-04-08,Arunachal Pradesh,1
742,2020-04-08,Assam,27
743,2020-04-08,Bihar,38
744,2020-04-08,Chandigarh,18
745,2020-04-08,Chhattisgarh,10
746,2020-04-08,Delhi,576
747,2020-04-08,Goa,7
748,2020-04-08,Gujarat,165
749,2020-04-08,Haryana,147
750,2020-04-08,Himachal Pradesh,18
751,2020-04-08,Jammu and Kashmir,116
752,2020-04-08,Jharkhand,4
753,2020-04-08,Karnataka,175
754,2020-04-08,Kerala,336
755,2020-04-08,Ladakh,14
756,2020-04-08,Madhya Pradesh,229
757,2020-04-08,Maharashtra,1018
758,2020-04-08,Manipur,2
759,2020-04-08,Mizoram,1
760,2020-04-08,Odisha,42
761,2020-04-08,Puducherry,5
762,2020-04-08,Punjab,91
763,2020-04-08,Rajasthan,328
764,2020-04-08,Tamil Nadu,690
765,2020-04-08,Telangana,427
766,2020-04-08,Tripura,1
767,2020-04-08,Uttarakhand,31
768,2020-04-08,Uttar Pradesh,343
769,2020-04-08,West Bengal,99
770,2020-04-09,Andhra Pradesh,348
771,2020-04-09,Andaman and Nicobar Islands,11
772,2020-04-09,Arunachal Pradesh,1
773,2020-04-09,Assam,28
774,2020-04-09,Bihar,39
775,2020-04-09,Chandigarh,18
776,2020-04-09,Chhattisgarh,10
